Date;Oil;EUR;JPY
11.02.2004;29,87;0,7792;105,34
12.02.2004;30,07;0,7811;105,41
13.02.2004;30,57;0,7851;105,5
16.02.2004;30,32;0,7827;105,46
17.02.2004;30,69;0,779;105,67
18.02.2004;30,99;0,7884;106,77
19.02.2004;30,82;0,787;107,12
20.02.2004;30,69;0,7982;109,02
23.02.2004;30,81;0,7966;108,4
24.02.2004;30,81;0,7884;108,21
25.02.2004;31,57;0,8003;109,07
26.02.2004;31,57;0,804;109,63
27.02.2004;32,23;0,8005;109,06
01.03.2004;33,34;0,8034;109,02
02.03.2004;33,15;0,8184;110,12
03.03.2004;32,23;0,819;110,04
04.03.2004;32,89;0,82;111,05
05.03.2004;33,35;0,8079;112,05
08.03.2004;32,77;0,8063;111,2
09.03.2004;32,23;0,8119;111,31
10.03.2004;31,99;0,817;110,77
11.03.2004;32,83;0,8098;110,87
12.03.2004;32,24;0,8185;110,88
15.03.2004;33,8;0,8151;110,31
16.03.2004;33,45;0,8154;108,94
17.03.2004;33,53;0,8172;108,23
18.03.2004;33,13;0,8072;106,74
19.03.2004;33,26;0,8148;106,75
22.03.2004;32,8;0,8106;106,85
23.03.2004;33,31;0,8112;106,78
24.03.2004;33,01;0,8246;106,23
25.03.2004;31,83;0,8244;106,16
26.03.2004;31,99;0,8242;105,93
29.03.2004;31,74;0,8224;105,53
30.03.2004;32,45;0,822;105,7
31.03.2004;31,51;0,8123;104,3
01.04.2004;31,55;0,8088;103,72
02.04.2004;30,21;0,8237;104,52
05.04.2004;30,69;0,832;104,96
06.04.2004;31,35;0,8256;105,75
07.04.2004;32,45;0,8215;105,32
08.04.2004;33,34;0,8275;106,25
13.04.2004;33,19;0,8369;106,65
14.04.2004;33,45;0,8357;108,66
15.04.2004;33,12;0,8346;108,12
16.04.2004;33,64;0,8333;107,82
19.04.2004;33,46;0,8323;108,41
20.04.2004;33,11;0,8433;108,8
21.04.2004;32,46;0,8443;109,34
22.04.2004;33,39;0,8396;109,41
23.04.2004;33,09;0,8441;109,19
26.04.2004;33,58;0,8433;108,73
27.04.2004;34,28;0,8383;109,53
28.04.2004;34,31;0,8445;110,08
29.04.2004;34,38;0,8356;110,04
30.04.2004;34,48;0,8344;110,41
04.05.2004;35,93;0,8255;109,34
05.05.2004;36,72;0,8221;108,73
06.05.2004;36,53;0,828;109,82
07.05.2004;37;0,8414;112,3
10.05.2004;35,97;0,845;113,81
11.05.2004;37,36;0,842;112,91
12.05.2004;37,95;0,8403;113
13.05.2004;38,49;0,8459;114,59
14.05.2004;38,76;0,8417;114,1
17.05.2004;37,91;0,8321;114,38
18.05.2004;36,95;0,8365;114,28
19.05.2004;37,9;0,8321;112,98
20.05.2004;37,26;0,836;112,78
21.05.2004;36,51;0,8314;112,45
24.05.2004;38,17;0,8331;112,9
25.05.2004;37,44;0,8259;111,82
26.05.2004;37,08;0,8255;111,75
27.05.2004;36,25;0,8151;110,9
28.05.2004;36,58;0,8187;110
01.06.2004;39,08;0,8165;110,62
02.06.2004;36,86;0,8188;110,03
03.06.2004;36,4;0,8185;111,02
04.06.2004;35,67;0,8153;111,29
07.06.2004;35,96;0,8119;109,59
08.06.2004;35,05;0,8155;109,67
09.06.2004;35,29;0,8304;110,27
10.06.2004;35,74;0,8259;109,25
11.06.2004;35,44;0,8327;110,16
14.06.2004;35,49;0,8297;111,04
15.06.2004;35,29;0,8223;109,53
16.06.2004;35,2;0,8329;110,06
17.06.2004;36,21;0,8305;109,47
18.06.2004;36,21;0,8237;108,75
21.06.2004;35,13;0,8258;108,9
22.06.2004;35,61;0,8256;109,23
23.06.2004;35,03;0,8271;108,5
24.06.2004;35,3;0,8213;107,14
25.06.2004;34,97;0,8217;107,63
28.06.2004;33,7;0,8206;107,9
29.06.2004;33,11;0,8277;108,22
30.06.2004;34,5;0,8206;108,88
01.07.2004;36,07;0,8225;108,32
02.07.2004;35,92;0,8113;108,28
05.07.2004;36,3;0,814;109,09
06.07.2004;37,18;0,8141;109,44
07.07.2004;36,61;0,8083;108,66
08.07.2004;37,77;0,8071;108,94
09.07.2004;37,05;0,8054;108,2
12.07.2004;36,63;0,8055;108,22
13.07.2004;36,69;0,8107;108,62
14.07.2004;38,54;0,8075;109,17
15.07.2004;38,11;0,8092;109,78
16.07.2004;38;0,803;108,73
19.07.2004;37,9;0,8038;108,27
