,Comp,Date,Close,month_ROR,qtr_ROR,year_ROR,Score,Oil,EUR,JPY
0,UBA,2004-03-24,6.1633620262146,0.083411387279651,,,0.7411224143460022,33.01,0.82,106.23
1,UBA,2005-06-15,7.158419132232666,0.0876916574468027,0.0982109060253159,0.254842415909732,0.8039125028163049,54.5,0.83,109.19
2,UBA,2005-06-29,7.281593799591064,0.0453814559122618,0.134049545558253,0.2230346379076325,0.806620137572607,56.15,0.83,110.41
3,UBA,2005-07-13,7.605220317840576,0.066312740158632,0.2287405232035306,0.219616574809007,0.9233805128337303,58.27,0.83,111.86
4,UBA,2005-07-27,7.613519191741943,0.0625008429563025,0.2497111635643415,0.3054842339859624,0.9232701017495476,58.01,0.83,112.39
5,UBA,2006-06-28,6.979930877685547,-0.0164854766725659,-0.1019803365299722,-0.0241821483223125,0.7485440334932063,71.41,0.8,116.36
6,UBA,2006-07-12,7.242831230163574,0.0287244117944558,-0.0032381521074969,-0.0278034252185878,0.8476835116229533,74.39,0.79,115.48
7,UBA,2006-07-26,7.404949188232422,0.0582099198316124,0.0145385599817697,-0.0294770014919818,0.8614203729551455,74.0,0.79,116.29
8,UBA,2006-11-01,8.102242469787598,0.0433976597570552,0.1353148501612361,0.2124689705457921,0.8362663140220994,58.98,0.78,117.08
9,UBA,2006-11-15,8.417281150817871,-0.0121634895643418,0.1521582956923049,0.1696585163029807,0.8283428027555587,59.46,0.78,117.98
10,UBA,2006-11-29,8.483838081359863,-0.0145938752409727,0.1623716788908779,0.2073176102322728,0.8405187024133773,63.07,0.76,116.4
11,UBA,2006-12-13,8.43059253692627,0.0130098121099133,0.085700126135521,0.2046365957537299,0.7998963344658915,61.33,0.76,117.53
12,UBA,2006-12-27,8.554834365844727,-0.0150191769904628,0.0151899939120334,0.2114765584905396,0.8706704702886602,60.52,0.76,118.78
13,UBA,2007-01-10,8.30434799194336,-0.0163398359372984,0.0228517783286283,0.1921496750640035,0.7590405718630429,53.69,0.77,119.67
14,UBA,2007-01-24,8.564842224121094,0.016573256641531,-0.0054062679567456,0.1517197126251931,0.7769343672444019,55.43,0.77,121.11
15,UBA,2011-03-23,10.440458297729492,-0.0419537458907588,-0.031603460753587,0.1381014877058677,0.7877628548380393,115.55,0.71,80.88
16,UBA,2011-04-06,11.171836853027344,0.0091672098015094,0.0091862261229564,0.2161024990615234,0.816643934904713,122.3,0.7,85.45
17,UBA,2011-04-20,11.454155921936035,0.0643059032909231,0.0367679004728105,0.2160433161075737,0.8274416346331652,123.85,0.69,82.5
18,UBA,2019-10-09,20.891054153442383,0.0779559158173566,0.1101947169591753,0.1794331151183846,0.5638030805674549,58.32,0.91,107.46
19,UBA,2019-10-23,21.50288963317871,0.0103625028199044,0.1268405980182935,0.2454147372879343,0.5637533101636266,61.17,0.9,108.68
20,ANDV,2014-08-13,57.78184127807617,0.0526279136747012,0.1502299265581897,0.1889142262654245,0.714251173517218,104.28,0.75,102.43
21,ANDV,2014-08-27,58.30702209472656,0.0980731591320982,0.1705991427095179,0.3212527870494102,0.7188188850292867,102.72,0.76,103.86
22,ANDV,2014-09-10,57.6297721862793,0.0725739922614064,0.1290090368097662,0.353464989822528,0.7132831920449698,98.04,0.77,106.84
23,ANDV,2014-09-24,54.43575286865234,-0.0456581973231301,0.010297656186819,0.3141286330956155,0.7222405791162176,96.95,0.78,109.03
24,ANDV,2015-08-12,101.45262145996094,0.0947958574568838,0.1637834803653339,0.5352454086575043,0.8133455399828443,49.66,0.9,124.21
25,ANDV,2015-08-26,85.59223175048828,-0.0419274810971458,0.0874702268122195,0.416478749390292,0.8140118850288272,43.14,0.88,119.92
26,ANDV,2015-09-09,89.81774139404297,-0.0407015549405148,0.1154261849866021,0.3855540947341814,0.8149707603458515,47.58,0.89,120.51
27,ANDV,2015-09-23,92.3269271850586,-0.0713530296330581,0.1123639522680423,0.4568187890513807,0.8109843628891329,47.75,0.89,120.3
28,ANDV,2015-10-07,96.0487289428711,0.086777971888643,0.1251974494993251,0.5164746608924347,0.8359193611219506,51.33,0.89,120.02
29,ANDV,2015-10-21,93.50225067138672,0.0862981628370504,0.0272043064697585,0.5148626088709605,0.837071316396163,47.85,0.88,119.95
30,ANDV,2015-11-04,106.87835693359376,0.0894827190036534,0.1270061303977902,0.4718746431641311,0.8355600594271889,48.58,0.92,121.56
